,timestamp,sensor_00,sensor_02,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_32,sensor_35,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_49,sensor_50,sensor_51
0,2018-04-01,2796.8287846210083,65417.55340015753,734894.8899283039,95649.19356989497,15166.991707166779,18520.834433224827,18201.056202206182,17918.81608525325,47482.66717632191,47274.71014140869,34036.01596494918,4018.7084617456853,870147.432106267,341158.6451723521,63191.424008935544,48143.70747659478,75301.39636798706,46284.41783433435,46464.436157691016,53223.78003502961,47563.84762539679,51266.66953873875,51135.972452407965,51688.42461770364,69065.39357627754,333157.21055294416,259377.55480873625
1,2018-04-02,3163.8578655336605,71336.43932428362,813983.5184959464,107975.11303099581,16854.82304410779,20479.319997941882,20132.99246475677,19677.349226579492,54295.38929138217,54142.59284766027,38643.2470271759,6290.536984835346,989374.5000838112,388990.0903206889,68340.5754173851,51097.49056791004,83906.65228552434,49398.024581487356,49425.40302852483,58238.880745929346,52375.937531377145,57044.04584756994,57353.747550506705,56404.92225625169,77011.94376966351,354552.39619660313,273385.8265749405
2,2018-04-03,3172.5069220705973,70801.28629033272,815680.9724406961,105708.21400084574,16937.694909352413,20609.63215676965,20175.960662765043,19717.42175605346,54626.0831645382,53790.94818977037,37900.988913232824,5092.2252723420515,916332.6115127344,379461.8465100869,68783.16656039009,51074.75157837868,85715.88942773969,49793.71405631991,49605.96976666318,59055.942835085494,53112.64455135193,57174.42762921356,57370.996224906936,57748.31623116526,76244.81840473566,342436.4022277829,242749.89592181676
3,2018-04-04,2596.35992249569,61697.359989998324,682187.580361195,83331.77488800832,14320.851084396289,17855.451897013092,17350.670619308134,17088.47751254755,44323.75794541739,43363.628778688086,31420.73383187933,2156.3557906335236,799367.8440797294,289683.9044343036,59831.842625117235,47317.27612441497,72894.33941833655,44616.58087992743,45143.06082861788,52797.61463919947,46427.6698976475,50816.04891009124,51287.136710027145,49858.324528178266,69479.27119614511,318202.91925527924,202067.13350590965
4,2018-04-05,2838.794153418742,64756.180859660555,737802.5268298786,88345.32218777864,15371.30361197299,18842.62925803795,18622.438338532735,18180.764870180206,48824.501096433894,48704.70976875764,34864.897270591464,3513.7308094326445,808796.9194788404,315660.3177959238,63534.193203734125,47830.39572433208,77535.04881224301,46504.33033216819,46619.81838470253,54277.08889500811,48230.0354097187,53194.265751330524,54726.90444466205,51968.589506438744,72765.76432051556,325446.6136734053,206755.4909136998
5,2018-04-06,2522.970505126833,61531.17171118686,675718.2444320496,82407.47433191676,14680.85737294883,18335.695102125745,18003.07046459392,17841.341017835126,44032.93379090003,43038.71157986899,30168.432174722024,3411.1803703848896,857020.3824131892,338023.94256334193,60855.21201773488,49527.18373363717,74879.46601400492,45651.11756942958,46236.87751802605,53635.76332132327,46515.41910184054,50798.61734929226,52951.62368210424,50407.75236700349,68946.79707388976,293691.6600311668,184904.70254961422
6,2018-04-07,2839.7135195743845,67542.13016952874,754370.0834265215,98673.93381838153,16042.992414433786,19425.74195292218,19275.572130573288,19077.27254673892,49084.5835992371,48530.22035456436,30825.401383998847,3545.0935513885324,909323.222997022,393309.22408625874,64524.87263927592,48687.69847651499,78937.82753295099,47126.738201938875,47325.97324906281,55610.02982874886,48459.42350974945,53022.02570596906,53323.77323154429,53691.26574201037,68207.96560705018,321612.8221371503,202461.99016252634
7,2018-04-08,2818.5046991605973,65661.45529727984,739965.2835061856,96071.36795703355,15379.001455070094,18679.51678551637,18321.933926501253,18013.353535830694,48168.824935774646,48072.59406486563,34541.676142117074,4176.414706944566,889883.037774965,362664.74359990086,63456.320580885105,48151.69961971761,76639.74885071174,46326.97887136774,46511.15443912238,53608.22458574187,48250.647984637864,51505.74044443523,52067.54055570404,52348.81213495893,68750.23406393689,317101.6042350192,262289.92186211405
8,2018-04-09,3185.5337800054917,71580.34122316424,819053.9120760548,108397.28741072709,17066.832792740588,20638.00235002871,20253.87018898775,19771.88669742925,54981.547053364564,54940.47677132863,39148.9071983976,6448.243229929141,1009110.1057361276,410496.1887209855,68605.47199068248,51105.482710891636,85245.00477023437,49440.58561849025,49472.1213073276,58623.32529622909,53062.737883545546,57283.116749806046,58285.31563523734,57065.30978001867,76696.78433655841,338496.7898794237,276298.1935823915
9,2018-04-10,3194.1828364783714,71045.18819102945,820751.3660238716,106130.3883732968,17149.704658730927,20768.31450866846,20296.838386949818,19811.959247191855,55312.240929115906,54588.83211371853,38406.64907854424,5249.931517344556,936068.2171492563,400967.94488357805,69048.06313508679,51082.74372123338,87054.24191450943,49836.27509332037,49652.68804286138,59440.387385010385,53799.44489648526,57413.498528033,58302.56429111398,58408.70376148789,75929.6590509134,326380.79591156956,245662.26288343463
